,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,4,0,27.416725,3,3,0.11111111,6.0244045,11,1.0369999,-2.7345901,137.019289999999,0.0,41.912434,0.0,27.133842,209.85458,24.259378,13.433075,36.965202,99.143539,27.047791,37.736813,14.960114,87.191391,72.879997,13.566921,23.167019,46.383339,43
1,3,0,37.126553,0,4,0.16666667,4.6161566,11,0.38800001,-1.44297,167.68079,8.6190128,81.897041,32.016521,0.0,207.05975,1.5185606,52.814564,23.187748,55.318733,3.185575,0.0,4.6428747,55.318733,59.650002,32.016521,13.6984179999999,37.6991,35
2,3,0,17.149691,3,3,0.23076923,3.1522653,8,0.146,-0.49322999,64.700874,0.0,56.44981,0.0,13.566921,119.3278,25.385227,8.8119249,23.862217,64.75106,0.0,18.868406,28.509541,45.053448,60.77,13.566921,8.458519,40.700764,18
3,4,0,29.60314,3,3,0.096774191,7.9350882,11,2.3340001,-4.1665401,132.0421,0.0,57.720928,0.0,27.133842,221.93895,24.259378,13.433075,32.983234,99.143539,30.233366,0.0,14.960114,87.191391,72.879997,13.566921,23.167019,46.383339,51
4,3,0,22.047312,4,5,0.3125,3.7676203,10,-0.046,-0.8757,92.970146,8.6190128,66.496178,0.0,27.133842,150.31067,18.01075,14.0707079999999,47.724434,62.264381,0.0,18.868406,3.1243138,47.82555,69.639999,27.133842,21.408051,46.383339,22
5,5,0,33.705555,3,4,0.13333334,6.3601732,11,1.414,-3.11218,153.8018,0.0,48.405209,0.0,27.133842,250.32594,35.259266,13.433075,40.94717,80.703964,27.047791,37.736813,25.960001,68.751808,82.110001,16.070677,23.167019,48.887096,51
6,3,0,40.179382,0,5,0.1923077,5.8779583,11,1.74,-1.96585,150.5387,8.6190128,84.105576,34.546043,0.0,198.53668,16.404997,52.814564,23.187748,36.879158,6.37115,0.0,4.6428747,36.879158,68.440002,32.016521,13.6984179999999,45.774307,37
7,3,0,20.023691,4,4,0.26666668,3.0605135,9,0.255,-0.78408998,83.4485469999999,0.0,47.748497,0.0,27.133842,146.72519,0.0,16.557388,58.724319,43.824806,0.0,18.868406,3.1243138,31.872654,66.839996,27.133842,25.670774,40.700764,21
8,3,0,19.336105,3,2,0.14285715,3.5058186,7,0.57300001,-0.94588,66.8111189999999,0.0,85.243851,0.0,13.566921,112.90728,25.385227,8.8119249,23.862217,43.824806,0.0,0.0,28.509541,24.12719,60.77,13.566921,8.458519,40.700764,19
9,2,0,12.776863,3,0,0.0,2.1522653,5,0.398,-0.49399999,32.291866,0.0,70.987183,0.0,13.566921,68.06385,0.0,8.8119249,23.862217,25.385227,0.0,0.0,3.1243138,5.6876111,40.540001,13.566921,8.458519,27.133842,14
10,3,0,28.897346,0,5,0.2173913,4.932653,11,1.3940001,-1.73495999999999,134.76712,8.6190128,84.105576,0.0,0.0,197.14055,0.0,38.349422,16.7855299999999,18.439579,8.69906999999999,0.0,38.349422,18.439579,49.740002,15.103616,35.981079,20.786192,28
11,3,0,19.336105,3,4,0.2857143,3.6522653,9,0.588,-0.69499999,73.2316439999999,0.0,65.151123,0.0,13.566921,127.85857,25.385227,8.8119249,23.862217,64.75106,0.0,37.736813,28.509541,45.053448,60.77,13.566921,8.458519,40.700764,19
12,3,0,26.710934,0,5,0.22727273,4.5244045,11,1.1,-1.8681099,81.500191,8.6190128,84.105576,0.0,0.0,179.90848,0.0,38.349422,16.7855299999999,18.439579,6.37115,0.0,38.349422,18.439579,49.740002,15.103616,49.581036,20.786192,25
13,4,0,32.00914,3,3,0.0882352959999999,8.1454315,12,3.303,-5.25045009999999,121.77011,0.0,86.514969,0.0,27.133842,232.14281,24.259378,13.433075,59.189209,62.264381,27.047791,0.0,44.880341,50.312233,72.879997,13.566921,23.167019,46.383339,57
14,4,0,29.60314,3,3,0.096774191,7.9182515,12,2.336,-4.47999,132.0421,0.0,67.767296,0.0,27.133842,221.93895,24.259378,13.433075,32.983234,99.143539,30.233366,0.0,14.960114,87.191391,72.879997,13.566921,23.167019,46.383339,50
15,3,0,25.390932,0,5,0.22727273,5.0244045,11,1.5549999,-1.22590989999999,98.246109,8.6190128,84.105576,9.4210396,0.0,170.92645,0.0,38.104378,16.7855299999999,18.439579,6.37115,0.0,38.104378,18.439579,49.740002,22.580544,0.0,28.263119,25
16,3,0,39.312969,0,5,0.2,5.0244045,12,0.52200001,-1.38701,182.70433,8.6190128,84.105576,32.016521,0.0,222.0833,0.0,54.333122,23.187748,55.318733,6.37115,0.0,6.16143509999999,55.318733,59.650002,32.016521,13.6984179999999,37.6991,35
17,3,0,25.553726,4,5,0.29411766,3.7676203,10,0.15099999,-0.76971,129.00499,0.0,66.496178,0.0,27.133842,177.7265,0.0,17.195023,47.724434,62.264381,0.0,18.868406,6.2486277,47.82555,60.849998,27.133842,21.408051,40.700764,25
18,3,0,17.149691,3,3,0.23076923,3.1902699,7,0.17900001,-0.49322999,49.749577,0.0,37.702133,0.0,13.566921,119.3278,25.385227,8.8119249,23.862217,64.75106,0.0,18.868406,28.509541,45.053448,60.77,13.566921,8.458519,40.700764,19
19,4,0,24.297726,0,5,0.22727273,4.5244045,11,0.98699999,-1.22019,81.500191,8.6190128,110.42458,9.4210396,0.0,154.40616,0.0,54.644863,16.7855299999999,18.439579,6.37115,0.0,54.644863,18.439579,62.630001,35.740047,24.790518,41.422623,25
20,3,0,41.499382,0,6,0.23076923,5.5244045,13,0.61000001,-1.44848,191.23511,8.6190128,92.806892,32.016521,0.0,230.61407,0.0,54.333122,23.187748,73.758316,6.37115,0.0,6.16143509999999,73.758316,59.650002,32.016521,13.6984179999999,37.6991,36
21,4,0,26.070312,3,3,0.09375,7.1742344,12,3.257,-5.4746499,123.76569,0.0,61.2745209999999,0.0,27.133842,213.9169,24.259378,13.433075,32.983234,99.143539,27.047791,0.0,14.960114,87.191391,72.879997,13.566921,23.167019,46.383339,53
22,4,0,25.533346,2,8,0.2857143,8.5075684,14,2.3659999,-3.3989501,51.416862,17.238026,25.373297,0.0,27.133842,181.35167,50.90794,13.004248,72.4739,25.385227,6.37115,0.0,0.0,13.004248,108.21,13.566921,27.65803,69.808403,37
23,4,0,26.48414,0,5,0.2173913,4.932653,12,1.4299999,-1.0870399,111.52843,19.809576,97.265083,18.842079,0.0,171.63824,0.0,54.644863,16.7855299999999,18.439579,8.69906999999999,0.0,54.644863,18.439579,62.630001,32.001583,12.290153,37.684158,27
24,3,0,8.9724493,0,0,0.0,2.1522653,4,0.31299999,0.28376999,29.542074,0.0,31.002581,0.0,5.6825762,82.337784,50.770454,16.7855299999999,0.0,0.0,2.7567475,0.0,67.555984,0.0,53.349998,5.6825762,0.0,32.816418,11
25,6,0,41.156624,3,12,0.30769232,10.715476,15,0.866,-4.2554598,85.765579,17.238026,90.524422,0.0,46.383339,266.49283,83.805122,53.6969449999999,79.5505829999999,55.318733,7.5963712,37.736813,19.909843,71.095085,143.44,46.383339,38.848595,93.233467,55
26,1,0,32.802555,2,10,0.47619048,3.0412414,14,0.93000001,-2.81493,87.850487,0.0,94.225876,0.0,34.20483,199.1667,36.0215,10.20993,0.0,86.608147,10.897642,0.0,3.1243138,35.6731409999999,86.260002,0.0,64.542404,11.365152,22
27,4,0,27.636312,3,3,0.09375,7.1742344,12,2.3789999,-4.5960302,124.8013,0.0,49.019615,0.0,27.133842,235.174,24.259378,13.433075,51.225269,99.143539,27.047791,0.0,44.880341,87.191391,72.879997,13.566921,23.167019,46.383339,53
28,3,0,24.233727,4,5,0.29411766,4.2152143,10,0.41600001,-1.2029099,87.189171,8.6190128,85.243851,0.0,27.133842,148.795069999999,18.01075,14.0707079999999,51.706402,43.824806,0.0,18.868406,3.1243138,29.385973,69.639999,27.133842,21.408051,46.383339,23
29,4,0,23.168104,3,4,0.26666668,2.5605135,8,0.43200001,-0.66000998,78.0217969999999,11.154908,47.748497,0.0,13.566921,167.99872,0.0,8.8119249,54.388493,43.824806,0.0,0.0,3.1243138,24.12719,59.0,18.574432,23.167019,32.141354,22
30,5,0,32.8391419999999,3,2,0.068965517,5.5436769,12,0.67699999,-2.8395901,138.85051,0.0,54.241272,0.0,27.133842,237.44154,17.248516,16.557388,36.965202,120.06979,27.047791,0.0,29.084314,108.11765,73.32,16.070677,23.167019,43.204517,51
